"Flight Date","Flight No.",Route,"Paying Pax","Non-Paying Pax","Total Pax"
2017-02-19,"GA 648","CGK3-?
(Domestic)","97 ",9,106
2017-02-19,"GA 646","CGK3-AMQ
(Domestic)","73 ",11,84
2017-02-19,"GA 530","CGK3-BDJ
(Domestic)","45 ",1,46
2017-02-19,"GA 532","CGK3-BDJ
(Domestic)","106 ",13,119
2017-02-19,"GA 536","CGK3-BDJ
(Domestic)","141 ",8,149
2017-02-19,"GA 538","CGK3-BDJ
(Domestic)","112 ",9,121
2017-02-19,"GA 528","CGK3-BDJ
(Domestic)","122 ",11,133
2017-02-19,"GA 534","CGK3-BDJ
(Domestic)","158 ",2,160
2017-02-19,"GA 298","CGK3-BKS
(Domestic)","83 ",18,101
2017-02-19,"GA 296","CGK3-BKS
(Domestic)","42 ",1,43
2017-02-19,"GA 576","CGK3-BPN
(Domestic)","109 ",9,118
2017-02-19,"GA 572","CGK3-BPN
(Domestic)","134 ",5,139
2017-02-19,"GA 566","CGK3-BPN
(Domestic)","82 ",15,97
2017-02-19,"GA 570","CGK3-BPN
(Domestic)","97 ",6,103
2017-02-19,"GA 568","CGK3-BPN
(Domestic)","86 ",59,145
2017-02-19,"GA 560","CGK3-BPN
(Domestic)","28 ",0,28
2017-02-19,"GA 562","CGK3-BPN
(Domestic)","28 ",0,28
2017-02-19,"GA 564","CGK3-BPN
(Domestic)","95 ",5,100
2017-02-19,"GA 158","CGK3-BTH
(Domestic)","93 ",4,97
2017-02-19,"GA 156","CGK3-BTH
(Domestic)","71 ",5,76
2017-02-19,"GA 154","CGK3-BTH
(Domestic)","94 ",18,112
2017-02-19,"GA 152","CGK3-BTH
(Domestic)","80 ",22,102
2017-02-19,"GA 150","CGK3-BTH
(Domestic)","33 ",1,34
2017-02-19,"GA 142","CGK3-BTJ
(Domestic)","114 ",25,139
2017-02-19,"GA 146","CGK3-BTJ
(Domestic)","112 ",19,131
2017-02-19,"GA 140","CGK3-BTJ
(Domestic)","51 ",2,53
2017-02-19,"GA 126","CGK3-DJB
(Domestic)","47 ",9,56
2017-02-19,"GA 128","CGK3-DJB
(Domestic)","114 ",23,137
2017-02-19,"GA 130","CGK3-DJB
(Domestic)","36 ",0,36
