"No.","Flight Date","Flight No.","Airport","Route","Paying Pax","Non-Paying Pax","Total Pax","PSC (IDR)"
"1","2017-03-14","GA 648","CGK3","CGK3 - ? (Domestic)","66","23","89","8.580.000"
"2","2017-03-14","GA 646","CGK3","CGK3 - AMQ (Domestic)","97","7","104","120.000"
"3","2017-03-14","GA 536","CGK3","CGK3 - BDJ (Domestic)","33","2","35","4.290.000"
"4","2017-03-14","GA 528","CGK3","CGK3 - BDJ (Domestic)","72","17","89","9.360.000"
"5","2017-03-14","GA 530","CGK3","CGK3 - BDJ (Domestic)","131","4","135","17.030.000"
"6","2017-03-14","GA 532","CGK3","CGK3 - BDJ (Domestic)","85","4","89","11.050.000"
"7","2017-03-14","GA 534","CGK3","CGK3 - BDJ (Domestic)","63","7","70","8.190.000"
"8","2017-03-14","GA 538","CGK3","CGK3 - BDJ (Domestic)","40","10","50","5.200.000"
"9","2017-03-14","GA 298","CGK3","CGK3 - BKS (Domestic)","47","36","83","6.110.000"
"10","2017-03-14","GA 296","CGK3","CGK3 - BKS (Domestic)","76","0","76","9.880.000"
"11","2017-03-14","GA 562","CGK3","CGK3 - BPN (Domestic)","133","0","133","17.290.000"
"12","2017-03-14","GA 564","CGK3","CGK3 - BPN (Domestic)","122","25","147","15.860.000"
"13","2017-03-14","GA 568","CGK3","CGK3 - BPN (Domestic)","114","43","157","14.820.000"
"14","2017-03-14","GA 560","CGK3","CGK3 - BPN (Domestic)","131","1","132","17.030.000"
"15","2017-03-14","GA 570","CGK3","CGK3 - BPN (Domestic)","88","22","110","11.440.000"
"16","2017-03-14","GA 576","CGK3","CGK3 - BPN (Domestic)","117","13","130","15.210.000"
"17","2017-03-14","GA 572","CGK3","CGK3 - BPN (Domestic)","127","19","146","16.510.000"
"18","2017-03-14","GA 566","CGK3","CGK3 - BPN (Domestic)","81","37","118","10.530.000"
"19","2017-03-14","GA 150","CGK3","CGK3 - BTH (Domestic)","104","0","104","13.520.000"
"20","2017-03-14","GA 152","CGK3","CGK3 - BTH (Domestic)","125","10","135","16.250.000"
