"No.","Flight Date","Flight No.","Airport","Route","Paying Pax","Non-Paying Pax","Total Pax","PSC (IDR)"
"1","2017-03-11","GA 270","KNO","KNO - BTH (Domestic)","62","2","64","4.650.000"
"2","2017-03-11","GA 121","KNO","KNO - CGK (Domestic)","106","38","144","7.950.000"
"3","2017-03-11","GA 197","KNO","KNO - CGK (Domestic)","113","0","113","8.475.000"
"4","2017-03-11","GA 195","KNO","KNO - CGK (Domestic)","68","1","69","5.100.000"
"5","2017-03-11","GA 193","KNO","KNO - CGK (Domestic)","56","7","63","4.200.000"
"6","2017-03-11","GA 191","KNO","KNO - CGK (Domestic)","90","6","96","6.750.000"
"7","2017-03-11","GA 189","KNO","KNO - CGK (Domestic)","101","1","102","7.575.000"
"8","2017-03-11","GA 187","KNO","KNO - CGK (Domestic)","91","5","96","6.825.000"
"9","2017-03-11","GA 123","KNO","KNO - CGK (Domestic)","108","1","109","8.100.000"
"10","2017-03-11","GA 181","KNO","KNO - CGK (Domestic)","89","0","89","6.675.000"
"11","2017-03-11","GA 183","KNO","KNO - CGK (Domestic)","143","2","145","10.725.000"
"12","2017-03-11","GA 185","KNO","KNO - CGK (Domestic)","113","1","114","8.475.000"
"13","2017-03-11","GA 7136","KNO","KNO - DTB (Domestic)","25","20","45","1.875.000"
"14","2017-03-11","GA 7134","KNO","KNO - FLZ (Domestic)","55","4","59","4.125.000"
"15","2017-03-11","GA 7116","KNO","KNO - GNS (Domestic)","57","1","58","4.275.000"
"16","2017-03-11","GA 7118","KNO","KNO - GNS (Domestic)","41","10","51","3.075.000"
"17","2017-03-11","GA 7124","KNO","KNO - LSW (Domestic)","22","34","56","1.650.000"
"18","2017-03-11","GA 266","KNO","KNO - PLM (Domestic)","61","1","62","4.575.000"
"Total"," "," "," "," ","1.401","134","1.535","105.075.000"
