"Flight Date","Flight No.",Route,"Paying Pax","Non-Paying Pax","Total Pax"
2017-04-13,"GA 270","KNO-BTH
(Domestic)","69 ",0,69
2017-04-13,"GA 121","KNO-CGK
(Domestic)","144 ",4,148
2017-04-13,"GA 197","KNO-CGK
(Domestic)","129 ",1,130
2017-04-13,"GA 195","KNO-CGK
(Domestic)","135 ",2,137
2017-04-13,"GA 193","KNO-CGK
(Domestic)","132 ",1,133
2017-04-13,"GA 191","KNO-CGK
(Domestic)","145 ",5,150
2017-04-13,"GA 189","KNO-CGK
(Domestic)","148 ",5,153
2017-04-13,"GA 187","KNO-CGK
(Domestic)","149 ",3,152
2017-04-13,"GA 185","KNO-CGK
(Domestic)","130 ",5,135
2017-04-13,"GA 183","KNO-CGK
(Domestic)","141 ",2,143
2017-04-13,"GA 181","KNO-CGK
(Domestic)","71 ",2,73
2017-04-13,"GA 123","KNO-CGK
(Domestic)","138 ",1,139
2017-04-13,"GA 7136","KNO-DTB
(Domestic)","37 ",23,60
2017-04-13,"GA 7134","KNO-FLZ
(Domestic)","44 ",9,53
2017-04-13,"GA 7116","KNO-GNS
(Domestic)","62 ",0,62
2017-04-13,"GA 266","KNO-PLM
(Domestic)","74 ",6,80
2017-04-13,"GA 850","KNO-SIN
(International)","102 ",4,106
2017-04-13,"MH 861","KNO-KUL
(International)","150 ",1,151
2017-04-13,"MH 865","KNO-KUL
(International)","153 ",3,156
2017-04-13,"MI 233","KNO-SIN
(International)","136 ",3,139
2017-04-13,"MI 237","KNO-SIN
(International)","154 ",0,154
