"Flight Date","Flight No.",Route,"Paying Pax","Non-Paying Pax","Total Pax"
2017-04-11,"GA 7132","PLM-BKS
(Domestic)","60 ",0,60
2017-04-11,"GA 119","PLM-CGK
(Domestic)","120 ",0,120
2017-04-11,"GA 117","PLM-CGK
(Domestic)","91 ",1,92
2017-04-11,"GA 115","PLM-CGK
(Domestic)","139 ",0,139
2017-04-11,"GA 113","PLM-CGK
(Domestic)","132 ",0,132
2017-04-11,"GA 111","PLM-CGK
(Domestic)","124 ",0,124
2017-04-11,"GA 109","PLM-CGK
(Domestic)","139 ",2,141
2017-04-11,"GA 101","PLM-CGK
(Domestic)","83 ",2,85
2017-04-11,"GA 103","PLM-CGK
(Domestic)","73 ",0,73
2017-04-11,"GA 105","PLM-CGK
(Domestic)","119 ",0,119
2017-04-11,"GA 107","PLM-CGK
(Domestic)","124 ",1,125
2017-04-11,"GA 7114","PLM-DJB
(Domestic)","65 ",1,66
2017-04-11,"GA 266","PLM-DPS
(Domestic)","30 ",42,72
2017-04-11,"GA 267","PLM-KNO
(Domestic)","50 ",22,72
2017-04-11,"GA 7126","PLM-PGK
(Domestic)","30 ",0,30
2017-04-11,"GA 7128","PLM-TKG
(Domestic)","62 ",0,62
