"Flight Date","Flight No.",Route,"Paying Pax","Non-Paying Pax","Total Pax"
2017-03-04,"GA 501","PNK-CGK","59 ",0,59
2017-03-04,"GA 515","PNK-CGK","61 ",0,61
2017-03-04,"GA 513","PNK-CGK","66 ",22,88
2017-03-04,"GA 511","PNK-CGK","31 ",0,31
2017-03-04,"GA 507","PNK-CGK","59 ",10,69
2017-03-04,"GA 505","PNK-CGK","89 ",3,92
2017-03-04,"GA 503","PNK-CGK","77 ",0,77
2017-03-04,"GA 7528","PNK-KTG","23 ",1,24
2017-03-04,"GA 7532","PNK-KTG","13 ",1,14
2017-03-04,"GA 7536","PNK-KTG","38 ",2,40
2017-03-04,"GA 7523","PNK-PKY","19 ",3,22
2017-03-04,"GA 7524","PNK-PSU","37 ",5,42
2017-03-04,"GA 7534","PNK-SQG","15 ",0,15
